pop,precip,temp,MEM1,MEM2,MEM3
BC1,50,7.368,0.180812354,0.564093942,-1.180152156
BC2,109.5,4.176,0.45411383,1.448710226,-1.293682166
KY,110.083,21.363,-1.699389662,-0.191617002,0.092554044
LA1,122,24.496,-1.698938592,-0.191562644,0.092514317
LA2,126,24.861,-1.696665666,-0.191286469,0.092296264
MD,99.5,19.955,0.357435316,-0.524879395,-0.270586269
MI,74.5,13.092,0.813164103,-0.96638401,1.551212353
MN,88,12.378,0.482462107,0.10949951,2.289787572
MO,112.115,20.345,-1.690401712,-0.190524576,0.091689178
MT,64.5,11.708,0.543483127,1.631233288,-0.130032496
NB,107,11.584,0.74384668,-1.163457615,-1.271039721
NF,90,8.86,0.278611613,-0.410084614,-1.163133534
ON,81,14.86,0.972265024,-1.462684977,-0.168473009
QB,80.611,11.869,0.880759701,-1.319608731,-0.074286731
SD,94.237,12.888,0.541522853,1.247419084,1.463810211
SK,58,12.37,0.536918924,1.611133983,-0.122477857